robot,grid_x,grid_y,orientation,action_1,action_2,action_3,action_4,action_5
robot4,2,-3,NW,2.5925925925925926,0,0,0,0
robot4,3,-3,NW,-2.4074074074074074,-7.407407407407407,-12.407407407407408,-17.40740740740741,2.746913580246913
robot4,3,-4,NW,-2.253086419753087,-7.253086419753087,-12.253086419753087,2.901234567901234,0
robot4,4,-4,NW,-2.098765432098766,-7.098765432098766,3.0555555555555554,0,0
robot4,4,-5,NW,-1.9444444444444446,-6.944444444444445,-11.944444444444445,-16.944444444444443,3.2098765432098766
robot3,6,-5,SE,-146.9100122974537,-167.06396556712963,-238.5567873565297,-203.87713107638888,-342.1074568895882
robot4,5,-5,NW,3.364197530864197,0,0,0,0
robot4,5,-6,NW,-12.453703703703706,-6.635802469135803,-16.635802469135804,-21.635802469135804,3.518518518518518
robot3,5,-4,SE,-99.57230613425926,-64.48148148148148,-63.51658950617284,-105.62538580246914,-137.26778549382715
robot4,5,-7,NW,3.6728395061728394,0,0,0,0
robot3,5,-3,SE,-144.9695601851852,-157.42650462962962,-72.38271604938271,-100.56018518518519,-102.46529706790123
robot4,6,-7,NW,-1.3271604938271606,-6.327160493827161,-21.99074074074074,-21.32716049382716,3.8271604938271606
robot4,6,-8,NW,-1.1728395061728394,3.981481481481481,0,0,0
robot4,7,-8,NW,-1.018518518518519,-6.018518518518519,-11.018518518518519,-16.01851851851852,4.135802469135803
robot4,7,-9,NW,-0.8641975308641969,0,0,0,0
robot1,3,7,SW,-251.09957561728393,-136.4753086419753,-108.83641975308643,-129.54938271604937,-161.18456790123457
robot2,-5,-7,E,-195.05116753472225,-176.98435980902775,-144.51334153163583,-163.17591869212964,-237.93036603009259
robot2,-5,-6,E,-168.7919519193673,-183.81348307291665,-225.71300130208334,-248.2457638888889,-230.406012972608
robot4,-4,4,NW,-0.8641975308641969,-0.43904320987654266,0,0,0
robot2,-4,-4,E,-166.96556568287036,-119.30439814814815,-105.16552228009259,-144.87141203703703,-89.18650655864198
robot2,-4,-3,NE,-29.15663580246914,-39.03163580246914,-48.90663580246914,1.6998456790123448,-101.46818721064814
robot2,-3,-3,NE,-3.9506172839506175,1.2037037037037033,0,0,0
robot2,-3,-2,NE,-5.662422839506174,-40.8912037037037,-50.7662037037037,-60.6412037037037,-52.743788580246914
robot2,-2,-2,NE,-3.6419753086419755,-8.641975308641975,1.5123456790123457,0,0
robot2,-2,-1,NE,6.09567901234568,-8.487654320987655,-13.487654320987655,-15.535493827160492,-22.160493827160494
robot2,-1,-1,NE,-3.333333333333334,-8.333333333333334,-13.333333333333334,9.984567901234568,0
robot2,-1,0,NE,-3.1790123456790127,-8.179012345679013,9.135802469135804,0,0
robot2,0,0,NE,-3.0246913580246915,-8.024691358024691,-13.024691358024691,-18.02469135802469,2.1296296296296298
robot2,1,0,NE,2.28395061728395,0,0,0,0
robot2,1,1,NE,1.0802469135802464,-7.71604938271605,-12.71604938271605,-17.71604938271605,-22.71604938271605
robot2,2,1,NE,-2.5617283950617287,2.5925925925925926,0,0,0
robot2,2,2,NE,-2.4074074074074074,-7.407407407407407,-12.407407407407408,-17.40740740740741,2.746913580246913
robot2,3,2,NE,-2.253086419753087,-7.253086419753087,2.901234567901234,0,0
robot2,3,3,NE,-2.098765432098766,-7.098765432098766,3.0555555555555554,0,0
robot2,4,3,NE,2.2376543209876543,-6.944444444444445,-11.944444444444445,-16.944444444444443,-21.944444444444443
robot2,4,4,NE,3.364197530864197,0,0,0,0
robot2,5,4,NE,2.700617283950616,-6.635802469135803,-11.635802469135804,-16.635802469135804,-21.635802469135804
robot2,6,4,NE,3.6728395061728394,0,0,0,0
robot2,6,5,NE,3.16358024691358,-6.327160493827161,-11.327160493827162,-16.32716049382716,-21.32716049382716
robot2,7,5,NE,3.981481481481481,0,0,0,0
robot2,7,6,NE,3.6265432098765435,-6.018518518518519,-11.018518518518519,-16.01851851851852,-21.01851851851852
robot2,8,6,NE,4.290123456790123,0,0,0,0
robot2,8,7,NE,-26.402006172839503,1.5895061728395063,-10.709876543209877,-15.709876543209877,-20.709876543209877
robot2,9,8,NE,-0.5555555555555554,-5.555555555555555,0,0,0
robot3,9,-5,N,-9.567901234567902,0,0,0,0
robot1,7,8,SW,-729.3038895245744,-1899.6537205825007,-1842.0405034963835,-664.6677137949262,-668.9890665844757
robot4,-9,6,W,-325.5099726781021,-642.3508526337079,-476.7709673854743,-335.8472328317901,-365.3475498385959
robot3,9,-6,N,0,0,0,0,0
robot1,4,8,SE,-771.6861894694988,-398.3328192515432,-130.95562692901234,-150.21804880401234,-716.9112036893641
