robot,grid_x,grid_y,orientation,action_1,action_2,action_3,action_4,action_5
robot4,-1,5,N,8.919753086419753,0,0,0,0
robot4,-1,5,NE,3.919753086419753,9.074074074074074,0,0,0
robot4,0,5,N,-2.9557870370370365,-10.925925925925926,9.228395061728394,0,0
robot4,1,5,N,11.342592592592592,0,0,0,0
robot4,1,5,NW,11.496913580246915,0,0,0,0
robot4,1,4,NW,-4.640046296296298,-15.462962962962964,-20.462962962962962,8.260802469135802,0
robot4,2,4,NW,0,0,0,0,0
robot1,3,8,SW,-21.69753086419753,-26.69753086419753,0,0,0
robot2,-4,-6,N,-56.04166666666667,-2.469135802469136,-12.314814814814815,-12.314814814814815,-20.154320987654323
robot2,-3,-6,N,-17.314814814814817,0,0,0,0
robot2,-7,-8,NE,-666.7488447449533,-1151.8964805977578,0,0,0
robot4,-7,5,N,-432.32776714754067,0,0,0,0
robot4,-6,4,W,-32.02426070601852,-50.53935185185185,-82.91435185185185,-20.462962962962962,-30.462962962962962
robot4,-9,5,S,0,0,0,0,0
robot3,6,-5,S,-15.648148148148147,0,0,0,0
robot3,5,-4,S,-40.34876543209877,-31.848244598765433,-54.948302469135804,-64.8233024691358,-34.96153549382716
robot3,4,-4,SE,-28.070987654320987,-8.179012345679013,-13.179012345679013,-8.179012345679013,-21.48148148148148
robot1,8,0,NW,-2.8604648919753117,-16.69753086419753,-21.69753086419753,8.45679012345679,0
robot1,8,-1,NW,-7.055555555555557,0,0,0,0
robot1,5,6,S,9.953703703703702,0,0,0,0
robot1,4,6,S,-70.73231577932098,-54.62212577160494,-47.092843364197535,-76.96373456790124,-81.96373456790123
robot1,4,6,SE,8.302469135802468,0,0,0,0
robot1,3,6,SE,8.302469135802468,0,0,0,0
robot1,3,7,SE,0,0,0,0,0
robot2,-6,-4,E,7.685185185185185,0,0,0,0
robot2,-6,-3,E,-7.019155092592593,-12.314814814814815,-13.884259259259261,0,0
robot2,-6,1,SE,-47.84992283950618,0,0,0,0
robot3,4,-4,S,-35.198302469135804,-45.073302469135804,-54.948302469135804,-64.8233024691358,-45.35395447530864
robot3,2,-4,SW,-3.1790123456790127,-8.179012345679013,-13.179012345679013,-18.179012345679013,1.8209876543209873
robot3,1,-4,SW,1.9753086419753085,0,0,0,0
robot3,1,-5,SW,0.617283950617284,-8.024691358024691,-13.024691358024691,-18.02469135802469,-23.02469135802469
robot3,0,-5,SW,2.28395061728395,0,0,0,0
robot3,0,-6,SW,-30.3641975308642,-1.419753086419754,-12.71604938271605,-17.71604938271605,-22.71604938271605
robot3,0,-7,SW,2.5925925925925926,0,0,0,0
robot3,-1,-7,SW,1.5432098765432092,-7.407407407407407,-12.407407407407408,-17.40740740740741,-22.40740740740741
robot4,-7,4,N,-176.85697375337577,0,0,0,0
robot3,-1,-8,SW,2.901234567901234,0,0,0,0
robot3,-2,-8,SW,0,0,0,0,0
robot2,-4,1,SE,-27.314814814814817,0,0,0,0
robot3,6,-4,S,-271.9492800986208,-7.098765432098766,-12.098765432098766,-26.976716820987654,-197.02805873914178
robot1,4,7,W,-1201.3911119395245,0,0,0,0
robot3,3,-4,SW,-2.098765432098766,-7.098765432098766,-12.098765432098766,3.0555555555555554,0
robot3,2,-5,SW,-1.9444444444444446,-6.944444444444445,3.0555555555555554,0,0
robot3,2,-5,S,-1.9444444444444446,-6.944444444444445,3.0555555555555554,0,0
robot3,1,-5,S,-1.9444444444444446,-6.944444444444445,-11.944444444444445,-16.944444444444443,3.0555555555555554
robot3,0,-5,S,-1.9444444444444446,-6.944444444444445,-11.944444444444445,-16.944444444444443,3.2098765432098766
robot3,-1,-5,SW,-1.7901234567901234,-6.790123456790123,3.364197530864197,0,0
robot3,-1,-6,SW,-1.635802469135803,-6.635802469135803,3.518518518518518,0,0
robot3,-2,-6,S,0,0,0,0,0
robot1,4,7,SE,9.953703703703702,0,0,0,0
robot1,3,8,SE,3.3024691358024683,0,0,0,0
robot1,7,0,N,9.953703703703702,0,0,0,0
robot1,8,0,N,-2.392293595679015,0,0,0,0
robot1,9,0,NW,8.61111111111111,0,0,0,0
robot1,9,-1,NW,2.1319444444444438,0,0,0,0
robot2,-3,-3,E,9.027777777777779,0,0,0,0
robot2,-3,-2,E,-16.669753086419757,0,0,0,0
robot2,-3,-1,NE,-11.368827160493828,0,0,0,0
robot2,-2,-1,E,9.413580246913579,0,0,0,0
robot2,-2,0,E,7.993827160493826,0,0,0,0
robot2,-2,0,NE,-5.6114969135802495,0,0,0,0
robot2,-1,1,NE,9.722222222222223,0,0,0,0
robot2,-1,1,N,8.911265432098766,0,0,0,0
robot2,0,1,N,9.063657407407405,0,0,0,0
robot2,0,1,NW,9.953703703703702,0,0,0,0
robot2,1,1,NW,8.302469135802468,0,0,0,0
robot2,1,0,NW,9.953703703703702,0,0,0,0
robot2,1,0,W,-5.213213734567904,8.45679012345679,0,0,0
robot2,1,-1,W,13.456790123456788,0,0,0,0
robot2,1,-1,SW,9.52469135802469,0,0,0,0
robot2,1,-2,SW,13.194830246913579,0,0,0,0
robot2,1,-2,S,-4.310243055555557,-11.38888888888889,8.765432098765432,0,0
robot2,0,-2,SE,8.919753086419753,0,0,0,0
robot2,0,-3,SE,-3.40727237654321,9.074074074074074,0,0,0
robot2,-1,-2,E,-2.9557870370370365,9.074074074074074,0,0,0
robot2,-1,-2,NE,-2.9557870370370365,-10.060956790123457,0,0,0
robot2,-1,-1,N,-2.9557870370370365,9.228395061728394,0,0,0
robot2,0,-1,N,9.228395061728394,0,0,0,0
robot2,0,-1,NW,-2.504301697530868,-10.771604938271606,9.228395061728394,0,0
robot2,0,-1,W,8.245370370370368,0,0,0,0
robot2,1,-2,W,9.99421296296296,0,0,0,0
robot2,1,-3,SW,11.210648148148149,0,0,0,0
robot2,1,-3,S,9.382716049382717,0,0,0,0
robot2,0,-3,S,9.537037037037036,0,0,0,0
robot2,0,-4,S,11.517361111111109,0,0,0,0
robot2,0,-4,SE,9.691358024691358,0,0,0,0
robot2,-1,-4,SE,11.824074074074073,0,0,0,0
robot2,-1,-4,E,9.845679012345679,0,0,0,0
robot2,-2,-4,E,0,0,0,0,0
robot3,7,-3,S,-1.4814814814814818,-6.481481481481482,-11.481481481481481,-75.21649305555556,0
robot3,3,-3,SE,0,0,0,0,0
robot1,4,1,NW,-0.3229166666666674,0,0,0,0
robot4,-1,4,NE,11.805555555555554,0,0,0,0
robot1,5,-1,NW,-15.322916666666668,0,0,0,0
robot4,0,4,N,-1.6013310185185206,-10.462962962962964,5.108024691358024,0,0
robot1,5,1,NW,4.93497299382716,0,0,0,0
robot4,-6,3,N,-33.248456790123456,0,0,0,0
robot1,6,9,E,0,0,0,0,0
robot2,-4,-2,NE,-43.99301697530865,0,0,0,0
robot2,-3,-2,N,12.130787037037036,0,0,0,0
robot2,-2,-2,N,12.130787037037036,0,0,0,0
robot2,-2,-2,NW,12.268518518518519,0,0,0,0
robot2,-1,-2,NW,12.285108024691358,0,0,0,0
robot2,-1,-3,W,-0.24687500000000018,-10.0,10.0,0,0
robot2,-1,-4,W,10.0,0,0,0,0
robot2,-1,-4,SW,-0.24687500000000018,10.154320987654321,0,0,0
robot2,-1,-5,SW,12.731481481481481,0,0,0,0
robot2,-1,-5,S,12.898533950617285,0,0,0,0
robot2,-2,-5,S,5.3086419753086425,0,0,0,0
robot2,-5,-9,W,5.3086419753086425,0,0,0,0
